"","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"35","Harry Potter And The Deathly Hallows: Book 7-- A Detailed Summary About This Book Of J.K. Rowling! And Much More!! (Harry Potter And The Deathly Hallows: ... Book 7, Paperback,Novel,Dvd,Movie,Summary)","The Summary Guy, The Deathly Hallows","4.76",NA,NA,"Harry Potter And The Deathly Hallows: A Detailed Summary, Analysis, And Much More! Deathly Hallows is the seventh and final installment in the Harry Potter series, which was published between 1997 and 2007. And the fact that J.K. Rowling took a decade was significant <U+2013> after all, it meant that a whole generation grew up with Harry, following him from childhood to adulthood. So, of course, when this final book arrived, it was like the last time we all met up with a dear friend, someone we'd known and loved practically forever. All of Harry's readers and friends waited with bated breath to see what would become of the magical world we wanted desperately to be part of, and that we had become a part of as we learned and grew up with him. We're not exaggerating when we say that the end of the Harry Potter series was a worldwide event. Within 24 hours of its release, Deathly Hallows sold a whopping and unprecedented eleven million copies. The story is thrilling and it will keep you interested through the episode. Here Is A Preview Of What You Will Get: In Harry Potter And The Deathly Hallows , you will get a detailed summary of the novel In Harry Potter And The Deathly Hallows , you will find some analysis to strengthen your knowledge about the book In Harry Potter And The Deathly Hallows , you will read about all the theme,style, and much more! Click the Buy Now With One Click Button, and learn everything about Harry Potter And The Deathly Hallows . Tags: harry potter and the deathly hallows, harry potter box set, harry potter merchandise wand books movie, harry potter and the deathly hallows part 1 2 dvd hollows"
"36","The End of Harry Potter?","David Langford","4.43","9050","57","The publication of Harry Potter and the Deathly Hallows, the seventh and final Harry Potter novel, is probably the most eagerly anticipated event in the history of publishing. Even the smallest hints from author J. K. Rowling about what may happen to Harry and his friends have been major news stories.In The End of Harry Potter?, David Langford<U+2014>Potter fan and award-winning writer<U+2014>delves into the many mysteries which remain unsolved. Is Albus Dumbledore really dead? Whose side is Severus Snape really on? What are the remaining horcruxes, where He Who Shall Not Be Named has stashed his soul? Does Harry bear a part of the Dark Lord's soul in his scar, and is this why he understands Parseltongue?J. K. Rowling is the only person who knows the answers to these questions. But in this highly entertaining book, Langford uses his deep knowledge of the six published Harry Potter novels to explore these and other mysteries, and to present a selection of possible outcomes.Only the publication of Harry Potter and the Deathly Hallows will lay these questions to rest, but in the meantime, fans of the series will find David Langford's book entertaining and thought-provoking, and a perfect way to refresh their memory of the first six books in readiness for the last."
"37","Harry Potter's Bookshelf: The Great Books behind the Hogwarts Adventures","John Granger","4.29","1845","91","Harry Potter. The name conjures up J.K. Rowling's wondrous world of magic that has captured the imaginations of millions on both the printed page and the silver screen with bestselling novels and blockbuster films. The true magic found in this children's fantasy series lies not only in its appeal to people of all ages but in its connection to the greater world of classic literature. Harry Potter's Bookshelf: The Great Books Behind the Hogwarts Adventures explores the literary landscape of themes and genres J.K. Rowling artfully wove throughout her novels-and the influential authors and stories that inspired her. From Jane Austen's Emma and Charles Dickens's class struggles, through the gothic romances of Dracula and Frankenstein and the detective mysteries of Dorothy L. Sayers, to the dramatic alchemy of C.S. Lewis, J.R.R. Tolkien, and William Shakespeare, Rowling cast a powerful spell with the great books of English literature that transformed the story of a young wizard into a worldwide pop culture phenomenon."
"38","Harry Potter And The Order Of Phoenix: A Summary About This Novel Of J.K Rowling!! (Harry Potter And The Order Of Phoenix: A Detailed Summary-- Book 5, Box Set, Novel, Rowling)","The Summary Guy","4.74","6305","6","Harry Potter and the Order of the Phoenix: A Detailed Summary About This Novel Of J.K Rowling!!! Harry Potter and the Order of the Phoenix is fifth book in Harry Potter series written by J.K. Rowling, a successful writer of previous four books about a young wizard that enchanted the hearts of both the young and the grown-ups. Maybe the most important thing about this sequel is that it is the longest book of all seven, with its thirty-eight chapters and more than seven hundred pages (total number of pages varies according to the country; Swedish has, for example a thousand pages while UK version has seven hundred sixty six). Similar to the last four books, this one also revolves around young wizard named Harry Potter, his life in Hogwarts School of Witchcraft and Wizardry, his coming of age, relationship with his friends Hermione Granger, Ron Weasley, but difference is that this book revolves more around Harry¡¯s relationship with his godfather Sirius Black, introduced in the third book- Harry Potter and the Prisoner of Azkaban. Also, the fifth book is somewhat more ¡®mature¡¯ and more ¡®sinister¡¯, because here readers learn that lord Voldemort (evil sorcerer and the nemesis of Harry) has indeed returned, along with his followers called ¡®¡¯Death Eaters¡¯¡¯ and that he has taken physical form and that the events that will happen because of their actions will be the core of the story. Here Is A Preview Of What You Will Get: In Harry Potter and the Order of the Phoenix , you will get a detailed summary of the novel In Harry Potter and the Order of the Phoenix , you will find some analysis to strengthen your knowledge about the book In Harry Potter and the Order of the Phoenix , you will get some fun multiple choice quizes, along with answers to help you learn about the novel. Click the Buy Now With One Click Button, and learn everything about Harry Potter and the Order of the Phoenix . Tags: Harry potter and the order of phoenix, harry potter book 5, harry potter series kindle edition book 1-7, harry potter kindle free series, harry potter and the order of phoenix free"
"39","Harry Potter: the Character Vault","Jody Revenson","4.48","2526","164",NA
"40","Harry Potter and History","Nancy R. Reagin","4.37","3538","71","A guide to the history behind the world of Harry Potter just in time for the last Harry Potter movie, Harry Potter and the Deathly Hallows (Part II) Harry Potter lives in a world that is both magical and historical. Hogwarts pupils ride an old-fashioned steam train to school, notes are taken on parchment with quill pens, and Muggle legends come to life in the form of werewolves, witches, and magical spells. This book is the first to explore the real history in which Harry's world is rooted.Did you know that bezoars and mandrakes were fashionable luxury items for centuries? Find out how Europeans first developed the potions, spells, and charms taught at Hogwarts, from Avada Kedavra to love charms. Learn how the European prosecution of witches led to the Statute of Secrecy, meet the real Nicholas Flamel, see how the Malfoys stack up against Muggle English aristocrats, and compare the history of the wizarding world to real-life history. Gives you the historical backdrop to Harry Potter's world Covers topics ranging from how real British boarding schools compare to Hogwarts to how parchment, quills, and scrolls used in the wizarding world were made Includes a timeline comparing the history of the wizarding world to Muggle ""real"" history Filled with fascinating facts and background, Harry Potter and History is an essential companion for every Harry Potter fan."
"41","The End of Harry Potter?","David Langford","4.43","9050","57","The publication of Harry Potter and the Deathly Hallows, the seventh and final Harry Potter novel, is probably the most eagerly anticipated event in the history of publishing. Even the smallest hints from author J. K. Rowling about what may happen to Harry and his friends have been major news stories.In The End of Harry Potter?, David Langford<U+2014>Potter fan and award-winning writer<U+2014>delves into the many mysteries which remain unsolved. Is Albus Dumbledore really dead? Whose side is Severus Snape really on? What are the remaining horcruxes, where He Who Shall Not Be Named has stashed his soul? Does Harry bear a part of the Dark Lord's soul in his scar, and is this why he understands Parseltongue?J. K. Rowling is the only person who knows the answers to these questions. But in this highly entertaining book, Langford uses his deep knowledge of the six published Harry Potter novels to explore these and other mysteries, and to present a selection of possible outcomes.Only the publication of Harry Potter and the Deathly Hallows will lay these questions to rest, but in the meantime, fans of the series will find David Langford's book entertaining and thought-provoking, and a perfect way to refresh their memory of the first six books in readiness for the last."
"42","The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats","Dinah Bucholz","3.77","1718","65","Free ebook Download! It's summertime and the weather is just right to sit back and relax with a nice, cool . . . pumpkin juice! With July comes backyard barbecues, long afternoons by the pool, and Harry's birthday of course! Celebrate this magical time with The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats. This free ebook includes 10 decadent treats guaranteed to provide sweet relief from the sultry summertime heat. From icy juices to cool, melt-in-your-mouth sundaes, this summer you can conjure a dessert fit for Hogwarts Hall!Looking to celebrate the tastes of this enchanted world all-year round? Then check out the Unofficial Harry Potter Cookbook ebook and print editions and the Unofficial Harry Potter Sweet Shoppe Kit!"
"43","Repotting Harry Potter: A Professor's Book-By-Book Guide for the Serious Re-Reader","James W. Thomas","4.3","1193","39",NA
"44","Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","J.K. Rowling","4.39","12888","186","There is an alternate cover edition for this ISBN13 here.Fans of Harry Potter will love the chance to really get inside the Hogwarts School of Witchcraft and Wizardry. Now, straight from the Hogwarts School Library, come two textbooks used by Harry and all his fellow wizards-in-training. Written by J. K. Rowling under two delightful pseudonyms, Quidditch Through the Ages and Fantastic Beasts & Where to Find Them come packaged in a fabulous box set.Did you know that in 1938 the wizard Zacharias Mumps set down the first full description of the game of Quidditch? Written by a renowned Quidditch expert (and ""the author of many Quidditch-related works""), Quidditch Through the Ages reveals everything readers need to know about the most important sport in the wizarding world. From the evolution of the flying broomstick and the rules for playing Quidditch to the changes in the sport since the 14th century (up until today) and details about all the Quidditch teams of Britain and Ireland, this book is a must-have for Quidditch fans old and new. Well researched and filled with diagrams, definitions, and more, Quidditch Through the Ages is what every wizard-in-training needs to be a pro. Fantastic Beasts & Where to Find Them offers a complete listing of all the fantastic beasts that exist in Harry Potter's world. From the Acromantula (""a monstrous eight-eyed spider capable of human speech"") to the Yeti (""also known as Bigfoot, the Abominable Snowman""), here's well-researched information on where they come from, what they look like, what they eat, and, most important, what to do if you ever meet one face-to-face. This indispensible textbook also includes insight into Muggle awareness of fantastic beasts, information on why Magizoology matters, and much more. Adding to the fun and authenticity, Fantastic Beasts & Where to Find Them features scribbled comments in the margins from Harry Potter, the previous owner of this book, as well as his friends Ron and Hermione."
"45","Harry Potter: The Creature Vault","Jody Revenson","4.46","2815","230","Dementors and House-elves, merpeople and Chinese Fireball Dragons<U+2014>these are just a few of the magical creatures and frightening monsters populating J. K. Rowling's wizarding world. Harry Potter: The Creature Vault is a fascinating look at how this menagerie was brought to life for the blockbuster Harry Potter film series. Detailed profiles of each creature include rare concept illustrations, behind-the-scenes photography, and filmmaking secrets from the Warner Bros. archive. A removable poster picturing each of the creatures and an interactive Eeylops Owl Emporium catalog complete this must-have package."
"46","Harry Potter Illustrated Box Set","J.K. Rowling, Jim Kay","4.75","1290","73",NA
"47","Mugglenet.com's Harry Potter Should Have Died: Controversial Views from the #1 Fan Site","Emerson Spartz, Ben Schoen","3.93","3190","107","HARRY POTTER DIDN'T DIE.The seventh and final book is out, but fans still fiercely debate the many controversial issues left unresolved. Now, the experts at MuggleNet.com argue passionately about what really happened and what should have happened.<U+2022>Would the series be stronger if Harry hadn¡¯t survived?<U+2022>Should we pity Voldemort or hate him?<U+2022>Is Severus Snape really a hero?<U+2022>Should J.K. Rowling have left Dumbledore¡¯s gay sexual orientation a secret?<U+2022>Did Harry actually die in Deathly Hallows?<U+2022>Were the Slytherins too demonized, the Hufflepuffs too lame, and the Gryffindors too glorified?<U+2022>Should J.K.R. write more Harry Potter novels or go out on top?"
"48","Harry Potter: the Artifact Vault","Jody Revenson","4.42","1270","97","Throughout the making of the eight Harry Potter movies, designers and craftspeople were tasked with creating fabulous chocolate-fantasy feasts, flying brooms, enchanted maps, and much more, in addition to numerous magical items necessary in a wizard¡¯s everyday life<U+2014>for example, newspapers with moving photos, vicious textbooks, and Howlers. Harry Potter: The Artifact Vault chronicles the work of the graphics department in creating vibrant and imaginative labels for potions bottles, brooms, and candy; the creation of Quidditch Quaffles, Bludgers, and Golden Snitches, lovingly crafted by the prop making team; and the stunning inventiveness used by the entire crew to create a rich, bewitched filmic universe.Accompanying the captivating text are never-before-seen art and design concepts, unit photography, and other filmmaking secrets from the Warner Bros. archive. This striking full-color compendium includes two exclusive bonus inserts<U+2014>Gilderoy Lockhart¡¯s classroom questionnaire and a Weasleys¡¯ Wizard Wheezes catalog<U+2014>as well as many more surprises."
"49","Harry Potter and the Chamber of Secrets: Selected Themes from the Motion Picture - Piano Solos","John   Williams","4.74","12362","5","Featuring 16 pages of four-color movie photos and a pull-out souvenir poster, this movie selections folio is a tremendous value at $12.95! Titles are: * The Chamber of Secrets * Dobby the House Elf * Family Portrait * Fawkes the Phoenix * Flying Car * Gilderoy Lockhart * Harry's Wondrous World * Hedwig's Theme * Moaning Myrtle * Nimbus 2000 * The Spiders."
"50","Harry Potter: Coloring Book","","4.35","2344","54","Packed with stunning pieces of artwork from the Warner Bros. archive, this deluxe coloring book gives fans the chance to color in the vivid settings and beloved characters of J.K. Rowling¡¯s wizarding world. Containing intricate line drawings used in the making of the Harry Potter films, this coloring book includes fan-favorite scenes, creatures, and characters: from Dobby and baby Norbert to Quidditch games and the unforgettable final battle between Harry and Lord Voldemort. Unique and interactive, Harry Potter: The Official Coloring Book is a perfect collector¡¯s item for all fans of the blockbuster saga--whether it's for those who grew up with Harry, Ron, and Hermione, or those who are discovering the magic for the very first time.---From back cover:From the heraldry of the four Hogwarts houses to the extravagant wares of Weasleys' Wizard Wheezes, the world of Harry Potter overflows with radiant colour. Filled with intricate illustrations and elaborate designs used in the making of the Harry Potter films, this book invites you to imbue the wizarding world with colour in your own explorations of Hogwarts castle, the Forbidden Forest, and much more. You will also find pages of magical creatures and iconic scenes from the films, from the Sorting Ceremony in Harry's first year, to the unforgettable final battle between Harry and Lord Voldermort, as well as some of the marvelous props used in the movies, such as The Quibbler, Quidditch World Cup posters, and the Triwizard Cup."
"51","The Dark Fantastic: Race and the Imagination from Harry Potter to the Hunger Games","Ebony Elizabeth Thomas","4.24","929","235",NA
"52","Fact, Fiction, and Folklore in Harry Potter's World: An Unofficial Guide","George Beahm, Tim Kirk, Britton McDaniel","4.22","982","23","Fact, fiction, and folklore in Harry Potter's world: covering the first five Harry Potter novels, this book presents more than one hundred entries that thoroughly examine the myths, legends, literature, and historical references of J. K. Rowling's fictional universe--Provided by publisher."
"53","Harry Potter: A Journey Through A History of Magic","British Library, J.K. Rowling","4.28","6334","685","An irresistible romp through the history of magic, from alchemy to unicorns, ancient witchcraft to Harry's Hogwarts <U+2013> packed with unseen sketches and manuscript pages from J.K. Rowling, magical illustrations from Jim Kay and weird, wonderful and inspiring artefacts that have been magically released from the archives at the British Library. This spellbinding book takes readers on a journey through the Hogwarts curriculum, including Herbology, Defence Against the Dark Arts, Astronomy, Divination and more. Discover the truth behind making the Philosopher's Stone, create your very own potion and uncover the secret of invisible ink. Learn all about the history of mandrake roots and dragons, discover what witches really used their brooms for, pore over incredible images of actual mermaids and read about real-life potions, astronomers and alchemists. The perfect gift for aspiring witches and wizards and any Harry Potter fan. Celebrating twenty years of Harry Potter magic, and produced in association with the British Library to support their major exhibition, Harry Potter: A History of Magic.Contents:The magical world of Harry Potter --The journey --Potions and alchemy --Herbology --Charms --Astronomy --Divination --Defence against the dark arts --Care of magical creatures --Past, present, future --The British Library --J. K. Rowling."
"54","Who Killed Albus Dumbledore?: What Really Happened in Harry Potter and the Half-Blood Prince? Six Expert Harry Potter Detectives Examine the Evidenc","John Granger, Odel Joyce, Wendy B. Harte","4.33","1141","12","Six fan-theorists attempt to unravel the clues of THE HALF-BLOOD PRINCE. Joyce Odell of Red Hen Productions, Daniella Teo of Mugglenet, Sally M. Gallo of The Leaky Cauldron, Wendy B. Harte and the mysterious ""Swythyv"" - along with editor, John Granger (author of Hidden Key to Harry Potter, etc.)- provide Harry Potter readers with exciting and insightful ideas of what happened and what will happen based on their close reading of the texts ... ideas that will challenge and engage readers everywhere. Travis Prinzi, creator of THE SWORD OF GRIFFYNDOR website, writes that these essays ""will stand as a monument to the kind of guesswork we were all involved in as we awaited the final Harry Potter book."""
"55","Harry Potter: A Journey Through Care of Magical Creatures","Pottermore Publishing, J.K. Rowling","4.01","819","54","The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic <U+2013> inspired by the British Library exhibition of the same name.Well-known folkloric creatures like giants, dragons and merpeople, and lesser-known beings such as Acromantula and Hippogriffs, all play a key role in Harry Potter¡¯s journey. In the past, naturalists and explorers travelled the globe to encounter weird and wonderful creatures that enhanced our knowledge of the world and pushed forward the development of science. Nevertheless, it seems part of human nature to want to believe in the unbelievable: from the bestiaries and cabinets of curiosities of the medieval period onwards. We think that truth and myth are easily distinguished today, but magical creatures and the stories around them continue to fascinate us <U+2013> and they are as central to the Harry Potter stories as Harry, Hermione and Ron.This eBook short examines the colourful characters and curious incidents of the real history of magic, and how they relate to the Hogwarts lesson subjects of Care of Magical Creatures from the Harry Potter stories."
"56","Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection","J.K. Rowling, Jack Thorne, John Tiffany","3.88","636","28","Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection. Description:- Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places."" Harry Potter and the Philosopher's Stone: Illustrated Edition (Harry Potter Illustrated Editi) Prepare to be spellbound by Jim Kay's dazzling depiction of the wizarding world and much loved characters in this full-colour illustrated hardback edition of the nation's favourite children's book - Harry Potter and the Philosopher's Stone. Brimming with rich detail and humour that perfectly complements J.K. Rowling's timeless classic, Jim Kay's glorious illustrations will captivate fans and new readers alike. When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him that apparently he's the last to know. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Leaving his unsympathetic aunt and uncle for Hogwarts School of Witchcraft and Wizardry, Harry stumbles upon a sinister mystery when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers, which could be valuable, dangerous - or both. An incredible adventure is about to begin!"
"57","Harry Potter: A Journey Through Divination and Astronomy","Pottermore Publishing, J.K. Rowling","3.94","813","44",NA
"58","The Young American¡¯s Unofficial Guide to the Very British World of Harry Potter","Dana Middleton","4.57","23","5","Are you an American who loves the Harry Potter books? But did you know you might be missing things?The Harry Potter series is about Harry¡¯s magical world but it¡¯s about his British one, too. This book will help you understand all the British history, geography, culture and slang that J.K. Rowling so expertly weaves into the Harry Potter stories. It offers a window into Harry¡¯s British world, which is practically as rich and fascinating as his wizarding one."
"59","Muggles and Magic: J. K. Rowling and the Harry Potter Phenomenon","George Beahm, Tim Kirk","4.17","2760","27","""Muggles and Magic"" is the first general interest book, resource guide, and reference work for Rowling's millions of fans. Organized in six sections appendices, this 400-page book is a treasure trove of information and trivia about Harry Potter, Rowling's most famous literary creation, and the phenomenon that surrounds him. The Real World of J.K. Rowling provides an in-depth look at Rowling herself: a chronology, a biography, a guide to Rowling's England and Scotland, FAQs, a concordance, Harry Potter illustrators, Rowling-related charities, a Harry Potter convention, and more. A Writer's Life is jam-packed with information for aspiring word wizards, with time-tested advice on getting your book published, the craft of writing, cafes to fuel your creativity, Harry Potter and censorship, and more.Harry Potter-Screen Magic is an in-depth look at the two movie adaptations, with reviews, cast listings, notable quotes by the cast, and more.Books offers a book-by-book look at the five Potter novels plus other official, and unofficial, books. A fictional concordance for Muggles and a trivia quiz round out this in-depth section.Harry Potter Merchandise looks at the numerous tie-in products licensed by Warner Bros., from action figures to wizard cards.Harry Potter Websites discussess the best that the World Wide Web offers, with capsule reviews, screenshots, and addresses.The Appendices provide detailed information on Rowling's book editions in the U.S. and the U.K., a list of available films and DVDs, and key collectibles with prices.Each section features dozens of quotes by and about J.K. Rowling.Packed with articles, profiles, synopses, and sidebars, ""Muggles and Magic"" is profusely illustrated with photographys and illustrations, including a special 16-page color photo album with little-seen photos of Rowling and England."
"60","Random Harry Potter Facts You Probably Don't Know: 154 Fun Facts and Secret Trivia","Mariah Caitlyn","4.23","1252","36","154 Harry Potter facts you've probably never heard before. Impress your friends and family with next-level Harry Potter knowledge and history."
